startup_id,team_experience,market_size_million_usd,monthly_active_users,monthly_burn_rate_inr,funds_raised_inr,valuation_inr,burn_rate_inverse,score
S055,0.7777777777777777,0.15784114052953155,0.020040552164830215,7029451,0.018660926480876527,0.0345693008990094,0.2971775149892289,19.09473184196863
S098,0.6666666666666665,0.22403258655804478,0.03732642444599189,2553771,0.08776210514858022,0.12489156056653242,0.7555159174407569,26.158776502444947
S023,1.0,0.0,0.0,5122148,0.4143578421841076,0.008128361335448836,0.49249760266551645,26.262269079448508
S058,0.5555555555555556,0.24236252545824843,0.34715110801622084,8553902,0.00829065647773057,0.3448647412713706,0.14106393315236068,28.567331840663947
S084,0.0,0.28309572301425656,0.15890099537131858,2726188,0.8679228501071369,0.007524342454915952,0.7378593083142141,30.14474031614103
S079,0.0,0.230142566191446,0.30160160570188016,4403127,0.29718276229167734,0.5445502857479454,0.5661299750578903,30.430186937549163
S051,0.2222222222222222,0.1690427698574338,0.5203068037520993,3501356,0.12066015904843545,0.2803152869705683,0.658477122199133,32.32126173656088
S061,0.3333333333333333,0.5835030549898167,0.021064596731249746,6407182,0.3398496118264699,0.4707192000363328,0.36090186064287477,32.964226802448366
S017,0.1111111111111111,0.7474541751527494,0.23358456560029495,2150021,0.1762538323173036,0.030673446254419277,0.7968625128161645,33.527898616466516
S074,0.4444444444444445,0.33197556008146634,0.3945643714414451,8156609,0.5783061084844566,0.0,0.18174929022104633,33.66237168380943
